,Stock code,company name,opening price,high price,low price,closing price,trading volume
0,7203,トヨタ自動車(株),"9,370","9,559","9,365","9,272","58,750,626"
1,6861,(株)キーエンス,"65,130","65,680","64,900","65,760","15,427,779"
2,6758,ソニーグループ(株),"11,520","11,555","11,405","11,385","35,446,167"
3,9432,日本電信電話(株),"2,891","2,919.5","2,891","2,901.5","11,673,079"
4,9984,ソフトバンクグループ(株),"6,379","6,419","6,151","6,179","106,639,014"
5,6098,(株)リクルートホールディングス,"6,305","6,354","6,283","6,369","17,160,964"
6,8306,(株)三菱ＵＦＪフィナンシャル・グループ,593.9,595.5,590.2,591.4,"15,238,616"
7,9433,ＫＤＤＩ(株),"3,397","3,422","3,389","3,404","8,359,354"
8,9983,(株)ファーストリテイリング,"73,460","74,150","73,070","73,460","21,999,469"
9,6367,ダイキン工業(株),"26,875","26,920","26,505","26,710","12,055,371"
10,4063,信越化学工業(株),"18,000","18,115","17,820","18,040","12,655,435"
11,4519,中外製薬(株),"4,282","4,312","4,241","4,262","14,189,440"
12,6594,日本電産(株),"12,560","12,655","12,375","12,470","8,987,158"
13,9434,ソフトバンク(株),"1,471","1,474.5","1,468","1,469.5","6,903,414"
14,7974,任天堂(株),"52,960","53,480","52,730","53,250","40,498,874"
15,8035,東京エレクトロン(株),"44,890","45,220","44,580","44,970","21,849,044"
16,7741,ＨＯＹＡ(株),"17,270","17,380","17,115","17,210","6,762,964"
17,6981,(株)村田製作所,"9,144","9,150","8,926","9,112","16,794,556"
18,7267,ホンダ,"3,298","3,338","3,277","3,281","9,430,222"
19,4502,武田薬品工業(株),"3,694","3,710","3,684","3,724","12,167,548"
20,6501,(株)日立製作所,"6,181","6,237","6,154","6,130","10,391,853"
21,4661,(株)オリエンタルランド,"16,265","16,515","16,215","16,245","11,731,948"
22,6902,(株)デンソー,"7,400","7,558","7,391","7,323","16,953,446"
23,8001,伊藤忠商事(株),"3,292","3,304","3,253","3,267","5,529,458"
24,8316,(株)三井住友フィナンシャルグループ,"3,779","3,795","3,760","3,767","10,770,857"
25,4689,Ｚホールディングス(株),673.3,687.3,670.8,671.1,"15,444,048"
26,4568,第一三共(株),"2,538.5","2,659","2,491.5","2,545.5","27,368,261"
27,2413,エムスリー(株),"7,397","7,399","7,252","7,397","9,202,130"
